SOAcondition,accuracy,height,operation,response,rt,size,stimulus,subject_nr,truth,width,md,auc,xflips,init_time
neutral,1,1050,mult,1,733,small,5_3_mult_FNI.jpg,127,FALSE,1680,-0.015415641,-0.01053922,0,440
neutral,1,1050,mult,1,734,large,8_4_mult_FNI.jpg,129,FALSE,1680,0.68238853,0.703638732,1,300
negative,1,1050,add,1,734,small,2_7_add_FNI.jpg,139,FALSE,1680,-0.820448884,-0.911942355,0,240
negative,1,1050,add,1,735,large,9_7_add_true.jpg,104,TRUE,1680,0.242654518,0.252506744,0,440
neutral,1,1050,add,2,735,large,8_4_add_FNI.jpg,104,FALSE,1680,-0.340490867,-0.398415773,0,320
neutral,1,1050,mult,1,735,small,5_3_mult_true.jpg,126,TRUE,1680,-0.352546025,-0.122324848,0,320
neutral,1,1050,add,1,736,small,5_3_add_true.jpg,108,TRUE,1680,0.218701117,0.240617612,0,60
neutral,1,1050,mult,1,736,small,5_3_mult_true.jpg,110,TRUE,1680,-0.10396947,0.062650555,1,440
negative,1,1050,mult,1,737,large,6_8_mult_true.jpg,104,TRUE,1680,0.262176456,0.304961843,0,400
negative,1,1050,add,2,738,large,6_8_add_FNI.jpg,108,FALSE,1680,0.440055134,0.363087794,0,240
neutral,1,1050,add,2,739,small,3_6_add_true.jpg,121,TRUE,1680,0.231768993,0.266903286,0,120
neutral,1,1050,mult,1,739,small,5_3_mult_FI.jpg,129,FALSE,1680,0.424028391,0.409304266,0,40
neutral,1,1050,add,2,740,small,5_3_add_true.jpg,129,TRUE,1680,0.112617257,0.090917995,0,80
neutral,1,1050,mult,1,740,small,2_7_mult_FNI.jpg,143,FALSE,1680,0.124088603,0.168226857,0,300
neutral,1,1050,add,1,741,large,9_7_add_true.jpg,108,TRUE,1680,0.202533374,0.232424332,0,240
negative,1,1050,add,2,741,small,5_3_add_true.jpg,127,TRUE,1680,-0.042870616,-0.015155739,0,380
neutral,1,1050,add,1,743,small,8_2_add_true.jpg,108,TRUE,1680,0.145856712,0.185735872,0,40
neutral,1,1050,mult,2,743,large,4_9_mult_true.jpg,127,TRUE,1680,0.52110334,0.599882279,1,300
neutral,1,1050,mult,1,744,small,5_3_mult_true.jpg,104,TRUE,1680,0.789760781,0.907385082,0,40
negative,1,1050,mult,2,744,small,5_3_mult_true.jpg,127,TRUE,1680,-0.242455155,-0.330150518,0,420
neutral,1,1050,add,1,744,small,2_7_add_true.jpg,146,TRUE,1680,0.077496985,0.056629053,0,340
neutral,1,1050,add,1,745,small,5_3_add_true.jpg,104,TRUE,1680,-0.272956523,-0.24568177,0,340
negative,1,1050,add,2,745,large,4_9_add_true.jpg,143,TRUE,1680,0.078124481,0.10548206,0,440
negative,1,1050,mult,2,746,large,9_7_mult_FI.jpg,104,FALSE,1680,-0.278985353,-0.222479075,0,400
negative,1,1050,add,2,746,small,8_2_add_true.jpg,109,TRUE,1680,-0.112052401,0.02044129,0,320
neutral,1,1050,add,1,746,large,4_9_add_FI.jpg,127,FALSE,1680,0.099619942,-0.011641874,0,360
negative,1,1050,add,2,747,small,2_7_add_true.jpg,105,TRUE,1680,-0.211725655,-0.072753835,0,300
negative,1,1050,mult,2,747,large,6_8_mult_true.jpg,113,TRUE,1680,0.258078366,0.12568208,1,180
negative,1,1050,mult,2,749,large,6_8_mult_FNI.jpg,104,FALSE,1680,-0.316650998,-0.428858508,0,40
negative,1,1050,add,2,749,small,3_6_add_FI.jpg,108,FALSE,1680,0.694582857,0.703800471,0,40
neutral,1,1050,add,2,750,large,6_8_add_true.jpg,143,TRUE,1680,0.130186777,0.112864135,0,300
negative,1,1050,mult,2,750,small,5_3_mult_true.jpg,143,TRUE,1680,0.251659999,0.279530501,0,180
negative,1,1050,add,2,751,large,8_4_add_true.jpg,105,TRUE,1680,-0.090644503,-0.019046313,0,320
negative,1,1050,mult,2,751,small,5_3_mult_true.jpg,109,TRUE,1680,0.165698693,0.168239482,0,200
negative,1,1050,add,1,753,small,5_3_add_true.jpg,104,TRUE,1680,-0.11298455,0.01557476,0,440
neutral,1,1050,add,1,755,small,5_3_add_true.jpg,140,TRUE,1680,0.111554685,0.104035098,0,60
neutral,1,1050,add,2,756,large,4_9_add_FNI.jpg,108,FALSE,1680,0.399617329,0.283201802,1,100
neutral,1,1050,mult,2,756,small,8_2_mult_FNI.jpg,108,FALSE,1680,1.259817799,0.851367373,0,180
negative,1,1050,mult,2,757,small,8_2_mult_true.jpg,129,TRUE,1680,-0.339354209,-0.451813097,0,180
negative,1,1050,mult,2,757,large,6_8_mult_true.jpg,143,TRUE,1680,-0.171029044,-0.066584091,0,240
